epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8259,3.93221,4.44822,3.90503,8e-05,0.00728,4e-05,1e-05,4.60633,4.17213,4.4317,0.000546847,0.000546847,0.000546847
2,73.7509,2.61482,2.79295,2.76468,0.00177,0.08636,0.00289,0.00114,3.88864,4.03421,3.94228,0.0010916,0.0010916,0.0010916
3,104.732,2.19551,1.89337,2.27752,0.68638,0.5331,0.61069,0.29779,1.93784,1.81762,2.29504,0.00162535,0.00162535,0.00162535
4,136.106,1.91694,1.57438,2.0411,0.58258,0.69693,0.75851,0.38385,1.73161,1.52338,2.03902,0.00161749,0.00161749,0.00161749
5,166.843,1.74278,1.37362,1.87531,0.84859,0.67312,0.82978,0.44911,1.58879,1.39763,1.91008,0.00160099,0.00160099,0.00160099
6,197.906,1.62291,1.26641,1.81555,0.86041,0.69073,0.82367,0.46562,1.53185,1.30981,1.86213,0.00158448,0.00158448,0.00158448
7,229.368,1.54733,1.16293,1.72501,0.81167,0.78935,0.84168,0.48795,1.50415,1.1872,1.78181,0.00156798,0.00156798,0.00156798
8,260.026,1.44071,1.08848,1.62515,0.84667,0.78158,0.87102,0.47815,1.56655,1.30508,1.76838,0.00155148,0.00155148,0.00155148
9,291.719,1.37671,1.01158,1.55505,0.8869,0.81933,0.89207,0.54377,1.32934,1.0715,1.63141,0.00153497,0.00153497,0.00153497
10,322.334,1.2788,0.93437,1.49771,0.87156,0.83093,0.90291,0.60172,1.20179,1.02824,1.56772,0.00151847,0.00151847,0.00151847
11,353.029,1.26073,0.90618,1.47919,0.89935,0.81137,0.90016,0.62491,1.13792,0.87112,1.46555,0.00150197,0.00150197,0.00150197
12,384.563,1.20952,0.85041,1.43289,0.94696,0.82065,0.92036,0.62141,1.12697,0.91252,1.47429,0.00148546,0.00148546,0.00148546
13,415.286,1.16314,0.81881,1.40082,0.96475,0.80836,0.92497,0.65211,1.07112,0.85105,1.41311,0.00146896,0.00146896,0.00146896
14,447.061,1.1164,0.78487,1.36962,0.91437,0.85208,0.93409,0.6639,1.05866,0.76433,1.41285,0.00145246,0.00145246,0.00145246
15,477.836,1.10521,0.78262,1.34743,0.91265,0.91728,0.95106,0.69667,0.97977,0.74048,1.3357,0.00143595,0.00143595,0.00143595
16,508.874,1.0686,0.74135,1.31181,0.90367,0.91401,0.95154,0.68945,1.01347,0.70812,1.34819,0.00141945,0.00141945,0.00141945
17,540.014,1.06531,0.72879,1.30818,0.94366,0.89909,0.95588,0.72004,0.91057,0.66186,1.27393,0.00140295,0.00140295,0.00140295
18,570.554,0.99309,0.69238,1.25729,0.96347,0.87902,0.9578,0.72568,0.90367,0.6557,1.27577,0.00138644,0.00138644,0.00138644
19,602.121,0.99497,0.68919,1.26578,0.90985,0.91354,0.94959,0.72126,0.89512,0.6707,1.2512,0.00136994,0.00136994,0.00136994
20,632.952,0.98847,0.68481,1.25821,0.95088,0.89834,0.9583,0.72186,0.92851,0.6447,1.26937,0.00135344,0.00135344,0.00135344
21,663.583,0.98143,0.67238,1.25413,0.93677,0.86692,0.93969,0.72174,0.86312,0.70025,1.24283,0.00133693,0.00133693,0.00133693
22,694.83,0.92401,0.64332,1.22526,0.92937,0.86459,0.9395,0.70525,0.91997,0.71022,1.29775,0.00132043,0.00132043,0.00132043
23,725.236,0.92564,0.64936,1.21217,0.92794,0.92815,0.96306,0.76501,0.76786,0.61508,1.16781,0.00130393,0.00130393,0.00130393
24,756.804,0.93993,0.63869,1.20843,0.95892,0.91724,0.96277,0.74851,0.84434,0.62942,1.21093,0.00128742,0.00128742,0.00128742
25,787.022,0.91891,0.6289,1.19934,0.9347,0.93288,0.97172,0.77116,0.77423,0.56448,1.16598,0.00127092,0.00127092,0.00127092
26,817.401,0.88447,0.60467,1.1726,0.95182,0.91775,0.97226,0.76872,0.78327,0.55738,1.1587,0.00125442,0.00125442,0.00125442
27,848.767,0.84922,0.58701,1.14779,0.95881,0.92707,0.96862,0.76029,0.77099,0.59651,1.15723,0.00123791,0.00123791,0.00123791
28,879.206,0.8509,0.58238,1.14295,0.93652,0.93712,0.9703,0.788,0.70645,0.53999,1.1013,0.00122141,0.00122141,0.00122141
29,910.231,0.8553,0.59269,1.14749,0.96822,0.91886,0.97107,0.78949,0.73961,0.56262,1.11998,0.00120491,0.00120491,0.00120491
